QKEY,Unique ID
GENEV9_c_W99,GENEV9_c_W99. How much of a role do you think each of the following groups should have in setting standards for how gene editing techniques are used?    People who get these gene editing techniques
GENEV9_d_W99,GENEV9_d_W99. How much of a role do you think each of the following groups should have in setting standards for how gene editing techniques are used?    The medical scientists who provide these gene editing techniques
GENEV10_W99,"GENEV10_W99. If the use of gene editing to greatly reduce a baby’s risk of serious diseases or health conditions over their lifetime becomes widespread, which is your greater concern?"
GENEV11_W99,GENEV11_W99. Which statement comes closer to your views when it comes to ensuring the safety and effectiveness of these gene editing techniques? Gene editing to greatly reduce a baby’s risk of serious diseases or health conditions over their lifetime shoul
GENEV12_a_W99,"GENEV12_a_W99. Would the use of gene editing to greatly reduce a baby’s risk…be more acceptable, less acceptable or would it make no difference in each of the following circumstances?    If people could choose which diseases and conditions are affected"
GENEV12_b_W99,"GENEV12_b_W99. Would the use of gene editing to greatly reduce a baby’s risk…be more acceptable, less acceptable or would it make no difference in each of the following circumstances?    If the effects were limited to that person and NOT passed on to futur"
GENEV12_c_W99,"GENEV12_c_W99. Would the use of gene editing to greatly reduce a baby’s risk…be more acceptable, less acceptable or would it make no difference in each of the following circumstances?    If gene editing were only used in adults who could consent to the pro"
GENEV13_a_W99,GENEV13_a_W99. Would you favor or oppose the use of gene editing for each of the following purposes?    To change a baby’s physical characteristics to make them more attractive
GENEV13_b_W99,GENEV13_b_W99. Would you favor or oppose the use of gene editing for each of the following purposes?    To treat serious diseases or health conditions that a person currently has
EXOV1_W99,EXOV1_W99. How much have you heard or read about robotic exoskeletons with built-in artificial intelligence computer systems for manual labor?
EXOV2_W99,EXOV2_W99. Do you think widespread use of robotic exoskeletons would be a…
EXOV3_W99,"EXOV3_W99. Would you personally want to use a robotic exoskeleton with a built-in artificial intelligence computer system for manual labor, if you had the opportunity?"
EXOV4_a_W99,"EXOV4_a_W99. If the use of robotic exoskeletons for manual labor becomes widespread, do you think each of the following would happen?    Employers would need fewer workers and lay off part of their work force"
EXOV4_b_W99,"EXOV4_b_W99. If the use of robotic exoskeletons for manual labor becomes widespread, do you think each of the following would happen?    Workers would experience fewer workplace injuries"
EXOV4_c_W99,"EXOV4_c_W99. If the use of robotic exoskeletons for manual labor becomes widespread, do you think each of the following would happen?    Workers would lose strength by relying too much on exoskeletons"
EXOV4_d_W99,"EXOV4_d_W99. If the use of robotic exoskeletons for manual labor becomes widespread, do you think each of the following would happen?    More people would be able to do manual labor jobs"
EXOV5_W99,"EXOV5_W99. If the use of robotic exoskeletons for manual labor becomes widespread, which statement better describes how you would feel about this development?"
EXOV6_W99,"EXOV6_W99. If the use of robotic exoskeletons for manual labor becomes widespread, do you think conditions for workers would be…"
EXOV7_W99,"EXOV7_W99. Thinking about the manufacturing of robotic exoskeletons, which of the following statements comes closest to your view, even if neither is exactly right?"
EXOV8_a_W99,EXOV8_a_W99. How much of a role do you think each of the following groups should have in setting standards for how robotic exoskeletons for manual labor are used?    Federal government agencies
EXOV8_b_W99,EXOV8_b_W99. How much of a role do you think each of the following groups should have in setting standards for how robotic exoskeletons for manual labor are used?    The companies that develop robotic exoskeletons
EXOV8_c_W99,EXOV8_c_W99. How much of a role do you think each of the following groups should have in setting standards for how robotic exoskeletons for manual labor are used?    The workers themselves
EXOV8_d_W99,EXOV8_d_W99. How much of a role do you think each of the following groups should have in setting standards for how robotic exoskeletons for manual labor are used?    Employers
EXOV9_W99,"EXOV9_W99. If the use of robotic exoskeletons for manual labor becomes widespread, which is your greater concern?"
EXOV10_W99,EXOV10_W99. Which statement comes closer to your view when it comes to ensuring the safety and effectiveness of robotic exoskeletons for manual labor? Robotic exoskeletons should be tested using…
EXOV11_a_W99,"EXOV11_a_W99. Would the use of a robotic exoskeleton…be more acceptable, less acceptable or would it make no difference in each of the following circumstances?    If employers could only use robotic exoskeletons to improve worker safety, rather than to inc"
EXOV11_b_W99,"EXOV11_b_W99. Would the use of a robotic exoskeleton…be more acceptable, less acceptable or would it make no difference in each of the following circumstances?    If people were required to be licensed to operate robotic exoskeletons"
EXOV12_a_W99,EXOV12_a_W99. Would you favor or oppose the use of robotic exoskeletons for each of the following purposes?    To improve the quality of life for people with physical limitations
EXOV12_b_W99,EXOV12_b_W99. Would you favor or oppose the use of robotic exoskeletons for each of the following purposes?    To give people greater strength for recreational activities
EXOV12_c_W99,EXOV12_c_W99. Would you favor or oppose the use of robotic exoskeletons for each of the following purposes?    To increase the ability of firefighters to lift in emergency situations
F_RELCOM3CAT,religious commitment – 3 categories
F_METRO,Metropolitan area indicator
F_CREGION,Census region
F_CDIVISION,Census division
F_AGECAT,Age category
F_GENDER,Gender
F_EDUCCAT,Education level category
F_EDUCCAT2,Education level category 2
F_HISP,Hispanic identification
F_HISP_ORIGIN,Hispanic origin
F_YEARSINUS,Years lived in U.S. (excluding Puerto Rico or other U.S. territories)
F_RACECMB,Combining Race
F_RACETHNMOD,Race-Ethnicity
F_CITIZEN,Citizenship
F_BIRTHPLACE,Birthplace
F_MARITAL,Marital status
F_RELIG,Religion
F_BORN,Born-again or evangelical Christian
F_RELIGCAT1,Condensed 4-way religion variable
F_ATTEND,Religious service attendance
F_RELIMP,RELIMP. How important is religion in your life?
F_PRAY,"PRAY. Outside of attending religious services, how often do you pray?"
F_PARTY_FINAL,Party
F_PARTYLN_FINAL,Party lean
F_PARTYSUM_FINAL,Party summary
F_PARTYSUMIDEO_FINAL,Combining ideology and party identification
F_INC_SDT1,Family income
F_REG,Registered voter
F_IDEO,Ideology
F_INTFREQ,Frequency of internet use
F_VOLSUM,Volunteerism status
F_INC_TIER2,Income tier 3-way
WEIGHT_W99,Wave 99 weight
